etiquetas,Area,Eccentricity,Solidity,Extent,Perimeter,MajorAxisLength,MinorAxisLength,Circularity,Elongation,roundnessCH,convexity,circleVariance,ellipVariance,Mean_Green,Mean_Red,Mean_Blue,Std_Green,Std_Red,Std_Blue,Skewness_G,Skewness_R,Skewness_B,Kurtosis_G,Kurtosis_R,Kurtosis_B,Entropy_G,Entropy_R,Entropy_B
Drepanocits,49102,0.896437480370336,0.989859893155932,0.766452297702298,881.706,376.511849124481,166.85883896341,0.793709271894121,0.556829780121358,0.793277353598374,1.00027219957673,0.276133993689104,0.103152327900323,36682.2646735367,38154.8476233147,40788.8177263655,3275.88144445855,2695.81652348471,3372.99573111004,0.535645944492126,0.311529082171935,0.466718952340457,2.39812101568929,2.55463704321222,2.43934239047128,5.56649224803571,5.39914757644283,5.66494694685841
Drepanocits,47888,0.854299178744148,0.991634225130456,0.725850701023115,838.126,342.854427847298,178.209423567772,0.856678636502498,0.480218398558515,0.855192343477458,1.0008686044819,0.226761221250282,0.0653343647561165,37343.1967925159,37960.5061810892,41332.5218843969,3431.5154012406,2530.20500379907,3586.06770201746,0.748065864310681,0.410345585045484,0.466982003126243,2.80905628750329,2.90705798333478,2.30680474872682,5.59911869245001,5.31386078537345,5.72364745985259
Drepanocits,38226,0.965385141076763,0.979174671482364,0.54522892597347,936.704,435.079969235385,113.481274918445,0.547474593617699,0.739171455955836,0.547474593617699,1,0.413123136832134,0.0573406370058896,40797.6447444148,41405.9042536494,45203.7335844713,2348.75540586142,1925.00205482172,2507.72445348754,0.409210842391176,0.109099910889882,0.363423113900348,2.54158100036948,3.18765463607403,2.47809669422175,5.18142639989265,4.94534754308308,5.27819444261948
Drepanocits,50034,0.918788789553852,0.985833349752724,0.58000347765606,922.594,402.348474636507,158.826855335716,0.738675740933933,0.605250509575797,0.74161164350065,0.99801863007997,0.305335960736435,0.0467123909590136,39144.193788224,40780.2537474517,42492.7890634369,2840.44398810254,2392.3639346845,2878.50943684644,0.626059136120396,0.260489793355355,0.461161796131786,2.94567900346431,3.23861191463811,2.64765721654951,5.42585770539005,5.23314627447493,5.46855604602675
Drepanocits,62347,0.8975666976313,0.987800434114422,0.780811281293441,1009.373,427.053433553909,188.278760285984,0.768992418427474,0.559121305455524,0.773321164634651,0.997197269988399,0.283170683451167,0.0350657011059118,34574.8359343673,36427.6765842783,40659.3582369641,3656.92648343448,2869.43594201493,3227.1271366127,0.64993362939745,0.307375818036172,0.345146965609217,3.06307875172975,2.78353188086411,2.4719243669796,5.77654416983013,5.50336141323972,5.64327877163241
Drepanocits,37953,0.896901220332036,0.99065542533476,0.806823979591837,778.659,332.225259391642,146.920287503042,0.786613433948164,0.557769063760906,0.786312476100002,1.00019135462378,0.280338071093668,0.0413194481479703,39681.8785339762,40895.870155192,42154.7105103681,3031.117956513,2691.43224908909,2866.24690828976,0.883259811565489,0.225450311052763,0.63757664320201,3.23032304652049,2.70205067553967,3.09852694181932,5.433225877182,5.41278894876362,5.45125498841058
Drepanocits,43712,0.807659319537082,0.944491259912275,0.68905072669378,841.267,310.742692268896,183.229244328556,0.776144947941512,0.410350592669765,0.819999335747923,0.972892078258151,0.201353578664529,0.161463559511695,41493.0801610542,42013.5113469985,44751.953147877,2213.98391521016,1709.19170907693,2190.89093523976,0.653186196919266,-0.0245752403964783,0.333426362769297,3.31157055526487,2.91354857971078,3.04933235208898,5.08595472891174,4.77929826722789,5.12068273767044
Drepanocits,59017,0.668486772516214,0.994472996882635,0.755852971311475,876.688,318.110032941433,236.58607614702,0.96493235584555,0.256275968540175,0.964131576663705,1.00041519902177,0.107788724484035,0.0405889511490096,43583.8931833201,43104.4701018351,46444.69383398,2108.64263707398,1776.91220853474,2107.74537572205,0.560496769377089,0.0912545320083738,0.187534158876859,2.97355248311849,2.89852329397426,2.60718163141867,5.01925049682323,4.83491757920636,5.06576354655412
Drepanocits,42636,0.962169195272891,0.987035836651542,0.571344339622642,965.69,446.761119543807,121.721245341678,0.574527537018668,0.727547362523469,0.574094665513048,1.000376932556,0.398954215770174,0.0484156588293491,40775.9864902899,41632.0371517028,43779.9643493761,2309.62115196595,1968.25531588527,2418.92281429422,0.0483093890546804,-0.02340612114026,0.068208505003121,2.23079521757595,2.70136857106832,2.41442785346097,5.16839190420847,4.98010190419923,5.25882986199541
Drepanocits,56679,0.921431006229991,0.986837294332724,0.666811764705882,1009.316,432.632437440263,168.095880855641,0.699161857562544,0.611457980704806,0.701701296935592,0.998188872464124,0.316541304947953,0.0776830315557317,35829.8838017608,38290.5160641507,40795.1126872387,4346.88035778426,3483.40315468103,3840.64125385607,-0.00340209185506448,-0.181721066681023,-0.036106912216053,1.88367940661731,2.13526011782084,1.94615737821493,5.99571111176613,5.73476084894077,5.84290173586974
Drepanocits,48113,0.904481783641128,0.978125190591392,0.608163110526848,895.722,379.917935557953,162.039655140839,0.753573849469237,0.57348774570786,0.76107321438206,0.995060967576994,0.28173743394663,0.087635326347525,40770.6008771018,41392.8403549976,44760.3194147112,2403.31247479941,1984.32224374417,2565.00346288585,0.303779146507842,0.178275977186185,0.354828798640168,2.24253205853899,2.76060415117253,2.39101414661336,5.19745046644621,4.98740089404968,5.3001068367271
Drepanocits,75019,0.538540219186582,0.987325945618699,0.738259722878287,1008.65,338.974996929073,285.620266499869,0.926616755466849,0.157400194446695,0.928305739496095,0.999089872601993,0.0909855787867585,0.052531852572369,45303.9555312654,46240.3359149016,45640.8005438622,1005.46444805065,1273.86870053159,1327.41519928285,0.260303057554788,-0.00381058201564578,0.0941469135114117,3.53812776691402,3.10156741983398,3.18062622884407,4.00243172482376,4.35789725553296,4.41458500983397
Drepanocits,56669,0.773456135632406,0.994961022543718,0.700620641906928,875.868,337.711747228662,214.058533373171,0.928278076812356,0.366150170582507,0.929050120026986,0.999584412263035,0.155011456586181,0.0318015444782921,36269.6966595493,37948.4436287918,42819.6458734052,4739.55025644851,3484.13987011983,3741.95834296869,0.95548103343256,0.546638461007197,0.601856793272883,3.07484660645552,2.8678384382492,2.56469986105792,5.95988936796682,5.68532371458408,5.77758058059171
Drepanocits,60051,0.943084690554827,0.977281234234381,0.580359904128653,1067.592,480.206167214745,159.693834478186,0.662093747197733,0.667447347866376,0.664511589196091,0.998179079648405,0.350417614200601,0.0366390745664003,37801.5811893224,37595.3322342675,43932.225608233,2455.86603959677,2140.14245793582,2666.12547125359,0.803574710344714,0.262260678287952,0.520565162293276,3.25865311569326,3.09927174050561,2.54645355072761,5.17968395920513,5.09519495258218,5.32113109287769
Drepanocits,45561,0.914167299272877,0.99090889319037,0.606541881889344,879.728,378.840417751831,153.558068959206,0.739786295614547,0.594662919362003,0.740705442598955,0.999379353618391,0.300762519816669,0.0429883665627788,40915.2810517767,41910.9227628893,45535.6948267158,1853.91346047301,1658.14059835847,1777.28948659432,0.137958999656248,0.0861709099657381,0.342935259568688,2.93640800026266,3.3935194942853,3.20017182376414,4.88999165306838,4.7319841628694,4.81198508401862
Drepanocits,33509,0.712888927135734,0.985674785268855,0.765395157606213,674.666,247.266042290084,173.401978966809,0.925110654834968,0.298723037903524,0.924973548796716,1.00007411074517,0.12732406282169,0.0267341024747708,42473.6504222746,42659.6680294846,46640.5710704587,1341.62054727881,1421.81985925189,1492.63127246966,0.707371448556718,-0.135524457243369,0.466279356559806,3.92826145563577,3.19241987481016,3.32138057277696,4.37143958342808,4.5142671909292,4.5522106581438
Drepanocits,46056,0.956984833724603,0.94551426811743,0.632298631227776,1028.838,458.227347949966,132.949141781604,0.546766738829757,0.709862053462333,0.584602131491269,0.967098804670901,0.390486622627401,0.0514557360759002,37305.9749869724,38771.3621677957,41634.0149383359,3659.39696708363,2962.85105033612,3054.23851530011,-0.501206090549557,-0.370986647518255,0.385256523416099,4.49229382688467,3.79022244837941,2.38108601585724,5.76241816641381,5.53139109632106,5.54172827312419
Drepanocits,42629,0.832872288504035,0.986850938722596,0.718930769879417,789.68,315.13528471731,174.416420053767,0.859038703609195,0.446534778832444,0.858516782480877,1.00030392057542,0.212839045583337,0.0806265951415714,39025.0528044289,40103.6931666237,43336.5830772479,2371.78734942328,2030.99342764781,2484.71635805965,0.518232415496795,0.295939024265388,0.414613159160959,2.8547891685641,3.06158775931042,2.7555342675785,5.18009788188464,5.01498428481053,5.27566998415567
Drepanocits,49722,0.914113919399148,0.975629856369202,0.78271546635183,918.664,398.48068298854,161.566960910947,0.740363598330697,0.594542551726167,0.740657037995444,0.999801886217377,0.305240597782913,0.050664224286496,40956.7457463497,43425.4261695024,42317.2805599131,2246.89504858141,1935.55475380395,2605.80081347971,0.677058307735786,0.140934152602262,0.503224337064088,3.24149227444847,3.03847262816098,2.94041525099266,5.089657418236,4.95763984068022,5.33416965388928
Drepanocits,45655,0.930417932146184,0.984559315089172,0.549874741051212,921.46,401.997157666582,147.332079783769,0.675686490921588,0.633499697761627,0.677034804159527,0.999003754910685,0.334949309413394,0.044919133893489,38642.3701237542,40960.2060672435,41226.4368853357,2545.76721567011,2237.67987840347,2816.49573159859,1.200520448375,0.609208043805239,0.964359123571053,4.29316594214692,3.62896376447766,3.77229297590086,5.1243198361934,5.10788321417793,5.34872944328571
Drepanocits,46212,0.933120529665271,0.950238526073367,0.492738788305291,934.226,412.151550230827,148.194749405831,0.665366190560489,0.640436268351207,0.6769827190374,0.9913832413142,0.335253486426361,0.0256076187399044,41275.5911018783,41281.1321734614,44456.1242967195,2686.5464599615,2298.1212966127,2961.00322671045,0.0647619139032218,-0.0707454524071793,0.0399816290744462,2.09665372174987,2.54175768102614,2.12495791503321,5.36517342871706,5.19443982471674,5.51198003890324
